127.0.0.1, 2015-04-19 21:22:55, GET, /welcome/static/css/bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-19 21:22:55, GET, /welcome/static/images/20150413235626.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:22:55, GET, /welcome/static/images/20150413235455.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:22:55, GET, /welcome/static/images/20150413235434.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:22:55, GET, /welcome/static/images/20150413235510.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:22:55, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.019000
127.0.0.1, 2015-04-19 21:22:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:23:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.035000
127.0.0.1, 2015-04-19 21:23:18, GET, /welcome/static/css/bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-19 21:23:18, GET, /welcome/static/images/20150413235434.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:23:18, GET, /welcome/static/images/20150413235455.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:23:18, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.013000
127.0.0.1, 2015-04-19 21:23:18, GET, /welcome/static/images/20150414001925.png, HTTP/1.1, 200, 0.011000
127.0.0.1, 2015-04-19 21:23:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:26:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.039000
127.0.0.1, 2015-04-19 21:26:22, GET, /welcome/static/css/bootstrap.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-04-19 21:26:22, GET, /welcome/static/images/20150413235626.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:26:22, GET, /welcome/static/images/20150413235445.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:26:22, GET, /welcome/static/images/20150413235434.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:26:22, GET, /welcome/static/images/20150413235455.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:26:22, GET, /welcome/static/images/20150413235510.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:26:22, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.014000
127.0.0.1, 2015-04-19 21:26:23, GET, /welcome/static/images/20150414001925.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:26:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-04-19 21:34:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.026000
127.0.0.1, 2015-04-19 21:34:40, GET, /welcome/static/css/bootstrap.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-04-19 21:34:40, GET, /welcome/static/images/20150413235626.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:34:40, GET, /welcome/static/images/20150413235434.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:34:40, GET, /welcome/static/images/20150413235445.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:34:40, GET, /welcome/static/images/20150413235455.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:34:40, GET, /welcome/static/images/20150413235510.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:34:40, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.016000
127.0.0.1, 2015-04-19 21:34:41, GET, /welcome/static/images/20150414001925.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-04-19 21:34:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:34:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:35:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-04-19 21:35:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-04-19 21:35:46, GET, /welcome/static/css/bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-19 21:35:46, GET, /welcome/static/images/20150413235626.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:35:46, GET, /welcome/static/images/20150413235445.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:35:46, GET, /welcome/static/images/20150413235434.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:35:46, GET, /welcome/static/images/20150413235455.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:35:46, GET, /welcome/static/images/20150413235510.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:35:46, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.013000
127.0.0.1, 2015-04-19 21:35:46, GET, /welcome/static/images/20150414001925.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:35:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:35:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.018000
127.0.0.1, 2015-04-19 21:35:59, GET, /welcome/static/images/20150413235626.jpg, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-04-19 21:35:59, GET, /welcome/static/images/20150413235434.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:35:59, GET, /welcome/static/images/20150413235455.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:35:59, GET, /welcome/static/images/20150413235445.jpg, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-04-19 21:35:59, GET, /welcome/static/images/20150413235510.jpg, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-04-19 21:35:59, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.017000
127.0.0.1, 2015-04-19 21:35:59, GET, /welcome/static/images/20150414001925.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-04-19 21:35:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:36:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.036000
127.0.0.1, 2015-04-19 21:36:07, GET, /welcome/static/css/bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-19 21:36:07, GET, /welcome/static/images/20150413235626.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:36:07, GET, /welcome/static/images/20150413235434.jpg, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-04-19 21:36:07, GET, /welcome/static/images/20150413235445.jpg, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-04-19 21:36:07, GET, /welcome/static/images/20150413235455.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:36:07, GET, /welcome/static/images/20150413235510.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:36:07, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.019000
127.0.0.1, 2015-04-19 21:36:07, GET, /welcome/static/images/20150414001925.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-04-19 21:36:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:36:09, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-04-19 21:36:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.028000
127.0.0.1, 2015-04-19 21:36:27, GET, /welcome/static/css/bootstrap.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-04-19 21:36:27, GET, /welcome/static/images/20150413235626.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:36:27, GET, /welcome/static/images/20150413235434.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:36:27, GET, /welcome/static/images/20150413235455.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:36:27, GET, /welcome/static/images/20150413235510.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:36:27, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.030000
127.0.0.1, 2015-04-19 21:36:28, GET, /welcome/static/images/20150414001925.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-04-19 21:36:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:41:23, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-04-19 21:41:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.031000
127.0.0.1, 2015-04-19 21:41:46, GET, /welcome/static/css/bootstrap.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:41:46, GET, /welcome/static/images/20150413235626.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:41:46, GET, /welcome/static/images/20150413235434.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:41:46, GET, /welcome/static/images/20150413235445.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:41:46, GET, /welcome/static/images/20150413235455.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:41:46, GET, /welcome/static/images/20150413235510.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:41:46, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.015000
127.0.0.1, 2015-04-19 21:41:47, GET, /welcome/static/images/20150414001925.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-04-19 21:41:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:41:50, GET, /welcome/views/default/hpbrthdytoys.html, HTTP/1.1, 404, 0.020000
127.0.0.1, 2015-04-19 21:41:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:42:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.033000
127.0.0.1, 2015-04-19 21:42:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:42:21, GET, /welcome/views/default/hpbrthdytoys.html, HTTP/1.1, 404, 0.017000
127.0.0.1, 2015-04-19 21:42:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:42:23, GET, /welcome/views/default/hpbrthdytoys.html, HTTP/1.1, 404, 0.039000
127.0.0.1, 2015-04-19 21:42:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:42:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.030000
127.0.0.1, 2015-04-19 21:42:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:42:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.040000
127.0.0.1, 2015-04-19 21:42:48, GET, /welcome/static/css/bootstrap.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-04-19 21:42:48, GET, /welcome/static/images/20150413235510.jpg, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-04-19 21:42:48, GET, /welcome/static/images/20150413235626.jpg, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-04-19 21:42:48, GET, /welcome/static/images/20150413235455.jpg, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-04-19 21:42:48, GET, /welcome/static/images/20150413235445.jpg, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-04-19 21:42:48, GET, /welcome/static/images/20150413235434.jpg, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-04-19 21:42:48, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.024000
127.0.0.1, 2015-04-19 21:42:50, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-04-19 21:42:50, GET, /welcome/views/default/specialday.html, HTTP/1.1, 404, 0.010000
127.0.0.1, 2015-04-19 21:42:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:43:15, GET, /welcome/views/default/specialday.html, HTTP/1.1, 404, 0.008000
127.0.0.1, 2015-04-19 21:43:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:43:17, GET, /welcome/views/default/specialday.html, HTTP/1.1, 404, 0.008000
127.0.0.1, 2015-04-19 21:43:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:43:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.030000
127.0.0.1, 2015-04-19 21:43:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:43:21, GET, /welcome/views/default/specialday.html, HTTP/1.1, 404, 0.013000
127.0.0.1, 2015-04-19 21:43:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:43:47, GET, /welcome/static/css/bootstrap.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-04-19 21:44:04, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2015-04-19 21:44:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.012000
127.0.0.1, 2015-04-19 21:44:04, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.023000
127.0.0.1, 2015-04-19 21:44:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:44:05, GET, /welcome/views/default/specialday.html, HTTP/1.1, 404, 0.009000
127.0.0.1, 2015-04-19 21:44:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:45:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.037000
127.0.0.1, 2015-04-19 21:45:01, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
